layers_0,layers_1,layers_2,layers_3,layers_4,layers_5,flags,sport,dport,applications,length_total,time_diff,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min,header_length,payload_length
0,0,0,0,0,0,0,0.0,1.0,0,0.075,0.6919265179176607,0.6109539339492482,0.0085752786081751,0.0042377916156098,0.0,0.0,0.0,0.075
0,0,0,0,0,0,0,1.0,0.0,0,0.525,0.2230416037969785,0.7754174322257013,0.319570997307234,0.1579278475791559,0.3010299956639812,0.1437980688733775,0.0,0.525
0,0,0,0,0,0,0,0.0,1.0,0,0.075,0.3285521484285948,0.6754344791328027,0.4789668779736708,0.2366992272060534,0.4771212547196624,0.2279145468404215,0.0,0.075
0,0,0,0,0,0,0,1.0,0.0,0,0.525,0.223002137622399,0.7754571710666905,0.6058600175361828,0.2994081731758989,0.6020599913279624,0.2875961377467551,0.0,0.525
0,0,0,0,0,0,0,0.0,1.0,0,0.075,0.4420071454336122,0.561195637049309,0.0085752786081751,0.3425704499802523,0.0,0.3338887761076433,0.0,0.075
0,0,0,0,0,0,0,1.0,0.0,0,0.525,0.2229755499114165,0.7754839424685368,0.319570997307234,0.3821688582398131,0.3010299956639812,0.3717126157137991,0.0,0.525
0,0,0,0,0,0,0,0.0,1.0,0,0.075,0.4420104698625337,0.5611922896523622,0.0085752786081751,0.4119328463316595,0.0,0.4036922164340549,0.0,0.075
0,0,0,0,0,0,0,1.0,0.0,0,0.525,0.2230611307277197,0.7753977703860625,0.319570997307234,0.4408884987726419,0.3010299956639812,0.4313942066201327,0.0,0.525
0,0,0,0,0,0,0,0.0,1.0,0,0.075,0.4424681639106305,0.5607314334585995,0.0085752786081751,0.4636084191826644,0.0,0.4558290936808431,0.0,0.075
0,0,0,0,0,0,0,1.0,0.0,0,0.525,0.2229430793291667,0.7755166373856046,0.319570997307234,0.486434990456045,0.3010299956639812,0.4776868449810208,0.0,0.525
0,0,0,0,0,0,0,0.0,1.0,0,0.075,0.4420524716601617,0.561149997670051,0.0085752786081751,0.5048087509293663,0.0,0.497459586159546,0.0,0.075
0,0,0,0,0,0,0,1.0,0.0,0,0.525,0.2228412363771762,0.7756191839566405,0.319570997307234,0.5236491838365559,0.3010299956639812,0.5155106845871766,0.0,0.525
0,0,0,0,0,0,0,0.0,1.0,0,0.075,0.4419636328434533,0.5612394502620103,0.0085752786081751,0.5390732252763653,0.0,0.5321160854510346,0.0,0.075
0,0,0,0,0,0,0,1.0,0.0,0,0.525,0.2228494693621319,0.7756108940911163,0.319570997307234,0.5551133360174847,0.3010299956639812,0.5474902853074324,0.0,0.525
0,0,0,0,0,0,0,0.0,1.0,0,0.075,0.4423284979534581,0.5608720643487942,0.0085752786081751,0.5684040276079195,0.0,0.5618033229480649,0.0,0.075
0,0,0,0,0,0,0,1.0,0.0,0,0.525,0.222764922924591,0.7756960246484467,0.319570997307234,0.5823688243693849,0.3010299956639812,0.5751922754935103,0.0,0.525
0,0,0,0,0,0,0,0.0,1.0,0,0.1,0.4420399878236904,0.5611625677556434,0.011394591601042,0.594122455197193,0.0,0.5877692631634878,0.0,0.1
0,0,0,0,0,0,0,1.0,0.0,0,0.55,0.2227409666791667,0.7760874873593891,0.3222271334692125,0.6065561340189626,0.3010299956639812,0.5996271625542207,0.0,0.55
0,0,0,0,0,0,0,0.0,1.0,0,0.075,0.441907124380498,0.5616234944636634,0.0085752786081751,0.6169599540428279,0.0,0.6108437731472761,0.0,0.075
