layers_0,layers_1,layers_2,layers_3,layers_4,layers_5,flags,sport,dport,applications,length_total,time_diff,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min,header_length,payload_length
0,0,0,1.0,0.6666666666666666,0,0.0,0.0,1.0,0,0.0,0.1978775773802234,0.7313950629622566,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,1.0,0.6666666666666666,0,0.6666666666666666,1.0,0.0,0,0.0,0.2614163329695503,0.6283641020546052,0.0720263165219782,0.0643767770256397,0.1059457625105743,0.0841024199884758,1.0,0.0
0,0,0,1.0,0.6666666666666666,0,0.3333333333333333,0.0,1.0,0,0.0,0.1477235448067322,0.7250904039389229,0.1141590107524082,0.1020347775029263,0.1679200606895695,0.1332991819016355,0.0,0.0027434842249657
0,0,0,0.0,0.0,0,0.8333333333333334,0.0,1.0,0,0.0962861072902338,0.139120822163549,0.7324093338451887,0.1918035608932995,0.1714331048511118,0.2118915250211486,0.1682048399769516,0.0,0.0987654320987654
0,0,0,1.0,0.6666666666666666,0,0.3333333333333333,1.0,0.0,0,0.0,0.3531588074677712,0.6114514495480117,0.2070374225196796,0.1850490574711749,0.2459984425075667,0.1952797718192584,0.0,0.0027434842249657
0,0,0,0.0,0.3333333333333333,0,0.3333333333333333,1.0,0.0,0,1.0,0.390777426561173,0.5183076913268676,0.3619555883115192,0.3235141726955406,0.2738658232001438,0.2174016018901113,0.0,1.0
0,0,0,0.0,1.0,0,0.3333333333333333,1.0,0.0,0,1.0,0.1819794764559805,0.8598761694278535,0.421569856847812,0.3767971206293902,0.2974273578552067,0.2361053427116033,0.0,1.0
0,0,0,1.0,0.6666666666666666,0,0.3333333333333333,0.0,1.0,0,0.0,0.2114147168032661,0.8348335788653667,0.4233522677820645,0.3783902309927033,0.3178372875317228,0.2523072599654274,0.0,0.0027434842249657
0,0,0,0.0,1.0,0,0.3333333333333333,1.0,0.0,0,1.0,0.2645137144412446,0.6257289458576005,0.4604563047471187,0.41155364167082,0.3358401213791391,0.2665983638032711,0.0,1.0
0,0,0,0.0,1.0,0,0.3333333333333333,1.0,0.0,0,1.0,0.1822235536330518,0.8596685161272882,0.4877412949743795,0.4359408353637134,0.351944205018141,0.2793821918077342,0.0,1.0
0,0,0,0.0,1.0,0,0.3333333333333333,1.0,0.0,0,1.0,0.1822757262857294,0.8596241292507366,0.5093313863987596,0.4552379557595117,0.3665121206897186,0.2909465709120466,0.0,1.0
0,0,0,1.0,0.6666666666666666,0,0.3333333333333333,0.0,1.0,0,0.0,0.2297281249937655,0.8192530985394889,0.5101011085083789,0.4559259296975868,0.3798115857107181,0.3015040218785872,0.0,0.0027434842249657
0,0,0,0.0,1.0,0,0.3333333333333333,1.0,0.0,0,1.0,0.261683484954415,0.6281368174224436,0.5278466857777468,0.4717868417395453,0.3920459075628726,0.3112159353171391,0.0,1.0
0,0,0,0.0,1.0,0,0.3333333333333333,1.0,0.0,0,1.0,0.1796459077812681,0.8618614973606575,0.5429992149455176,0.4853300997973196,0.403373120365781,0.3202077627000791,0.0,1.0
0,0,0,0.0,1.0,0,0.3333333333333333,1.0,0.0,0,1.0,0.1823857190211406,0.859530550839103,0.556220782208778,0.4971474733454544,0.4139185031971363,0.3285789537208941,0.0,1.0
0,0,0,0.0,1.0,0,0.3333333333333333,1.0,0.0,0,1.0,0.1825128263197369,0.8594224118873331,0.5679483672365606,0.5076295327209663,0.4237830500422972,0.3364096799539032,0.0,1.0
