layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_4,length_4,layers_5,length_5
Dot3,54,LLC,40,Raw,37.0,,,920552403.017624,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_thursday.tcpdump,0,,,,
Dot3,324,LLC,310,SNAP,307.0,Raw,302.0,920552403.602677,324,00:10:7b:38:46:32,01:00:0c:cc:cc:cc,,,,,,week1_thursday.tcpdump,1,,,,
Dot3,54,LLC,40,Raw,37.0,,,920552404.51744,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_thursday.tcpdump,2,,,,
Dot3,54,LLC,40,Raw,37.0,,,920552405.517411,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_thursday.tcpdump,3,,,,
Dot3,54,LLC,40,Raw,37.0,,,920552406.51877,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_thursday.tcpdump,4,,,,
Ether,60,Raw,46,,,,,920552406.887863,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week1_thursday.tcpdump,5,,,,
Dot3,54,LLC,40,Raw,37.0,,,920552408.0180812,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_thursday.tcpdump,6,,,,
Ether,77,IP,63,UDP,43.0,DNS,35.0,920552408.6583072,77,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_thursday.tcpdump,7,,,,
Ether,142,IP,128,UDP,108.0,DNS,100.0,920552408.659511,142,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_thursday.tcpdump,8,,,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,920552408.665017,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,2.0,1024.0,25.0,week1_thursday.tcpdump,9,,,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,920552408.66976,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,18.0,25.0,1024.0,week1_thursday.tcpdump,10,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,920552408.669964,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,16.0,1024.0,25.0,week1_thursday.tcpdump,11,,,,
Ether,86,IP,72,UDP,52.0,DNS,44.0,920552408.6832348,86,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_thursday.tcpdump,12,,,,
Ether,155,IP,141,UDP,121.0,DNS,113.0,920552408.684217,155,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_thursday.tcpdump,13,,,,
Ether,75,IP,61,UDP,41.0,DNS,33.0,920552408.686224,75,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_thursday.tcpdump,14,,,,
Ether,130,IP,116,UDP,96.0,DNS,88.0,920552408.686681,130,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_thursday.tcpdump,15,,,,
Ether,138,IP,124,TCP,104.0,SMTPResponse,84.0,920552408.690549,138,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,24.0,25.0,1024.0,week1_thursday.tcpdump,16,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,920552408.702652,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,16.0,1024.0,25.0,week1_thursday.tcpdump,17,,,,
Ether,76,IP,62,TCP,42.0,SMTPRequest,22.0,920552408.725935,76,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,24.0,1024.0,25.0,week1_thursday.tcpdump,18,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,920552408.7371428,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,16.0,25.0,1024.0,week1_thursday.tcpdump,19,,,,
Ether,80,IP,66,TCP,46.0,SMTPResponse,26.0,920552408.744051,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,24.0,25.0,1024.0,week1_thursday.tcpdump,20,,,,
Ether,76,IP,62,TCP,42.0,SMTPRequest,22.0,920552408.744386,76,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,24.0,1024.0,25.0,week1_thursday.tcpdump,21,,,,
Ether,98,IP,84,TCP,64.0,SMTPResponse,44.0,920552408.745205,98,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,24.0,25.0,1024.0,week1_thursday.tcpdump,22,,,,
Ether,92,IP,78,TCP,58.0,SMTPRequest,38.0,920552408.745507,92,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,24.0,1024.0,25.0,week1_thursday.tcpdump,23,,,,
Ether,99,IP,85,TCP,65.0,SMTPResponse,45.0,920552408.7463008,99,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,24.0,25.0,1024.0,week1_thursday.tcpdump,24,,,,
Ether,90,IP,76,TCP,56.0,SMTPRequest,36.0,920552408.746636,90,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,24.0,1024.0,25.0,week1_thursday.tcpdump,25,,,,
Ether,89,IP,75,TCP,55.0,SMTPResponse,35.0,920552408.747444,89,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,24.0,25.0,1024.0,week1_thursday.tcpdump,26,,,,
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,920552408.7477392,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,24.0,1024.0,25.0,week1_thursday.tcpdump,27,,,,
Ether,104,IP,90,TCP,70.0,SMTPResponse,50.0,920552408.749804,104,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,24.0,25.0,1024.0,week1_thursday.tcpdump,28,,,,
Ether,1078,IP,1064,TCP,1044.0,SMTPRequest,1024.0,920552408.750928,1078,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,24.0,1024.0,25.0,week1_thursday.tcpdump,29,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,920552408.767138,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,16.0,25.0,1024.0,week1_thursday.tcpdump,30,,,,
Ether,272,IP,258,TCP,238.0,SMTPRequest,218.0,920552408.767459,272,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,24.0,1024.0,25.0,week1_thursday.tcpdump,31,,,,
Ether,73,IP,59,TCP,39.0,SMTPResponse,19.0,920552408.770248,73,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,24.0,25.0,1024.0,week1_thursday.tcpdump,32,,,,
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,920552408.7704768,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,24.0,1024.0,25.0,week1_thursday.tcpdump,33,,,,
Ether,78,IP,64,TCP,44.0,SMTPResponse,24.0,920552408.771214,78,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,24.0,25.0,1024.0,week1_thursday.tcpdump,34,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,920552408.771938,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,17.0,25.0,1024.0,week1_thursday.tcpdump,35,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,920552408.772112,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,16.0,1024.0,25.0,week1_thursday.tcpdump,36,,,,
Ether,77,IP,63,UDP,43.0,DNS,35.0,920552408.775034,77,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_thursday.tcpdump,37,,,,
Ether,142,IP,128,UDP,108.0,DNS,100.0,920552408.776504,142,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_thursday.tcpdump,38,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,920552408.779354,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.113.84,17.0,1024.0,25.0,week1_thursday.tcpdump,39,,,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,920552408.779676,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.114.169,2.0,1026.0,25.0,week1_thursday.tcpdump,40,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,920552408.780367,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.84,194.27.251.21,16.0,25.0,1024.0,week1_thursday.tcpdump,41,,,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,920552408.7827152,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.169,194.27.251.21,18.0,25.0,1026.0,week1_thursday.tcpdump,42,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,920552408.782891,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.27.251.21,172.16.114.169,16.0,1026.0,25.0,week1_thursday.tcpdump,43,,,,
Dot3,54,LLC,40,Raw,37.0,,,920552409.5180632,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_thursday.tcpdump,44,,,,
Ether,72,IP,58,UDP,38.0,DNS,30.0,920552409.789404,72,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,194.27.251.21,,53.0,53.0,week1_thursday.tcpdump,45,,,,
