layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5
Ether,60,Raw,46,,,,,,,921762002.394367,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_wednesday.tcpdump,0,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762003.171287,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,1,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762004.17103,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,2,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762005.170989,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,3,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762006.1712472,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,4,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762007.171538,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,5,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762008.171492,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,6,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762009.172775,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,7,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762010.171066,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,8,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762011.1719108,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,9,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762012.172454,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,10,,
Ether,60,Raw,46,,,,,,,921762012.3941028,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_wednesday.tcpdump,11,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762013.671858,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,12,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762014.672502,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,13,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762015.67211,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,14,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762016.672182,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,15,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762017.671373,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,16,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762018.673932,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,17,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,921762018.720468,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32775.0,161.0,week3_wednesday.tcpdump,18,,
Ether,155,IP,141,UDP,121.0,SNMP,113.0,,,921762018.722034,155,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32775.0,week3_wednesday.tcpdump,19,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762020.172061,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,20,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762021.174765,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,21,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762022.1713108,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,22,,
Ether,60,Raw,46,,,,,,,921762022.402054,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_wednesday.tcpdump,23,,
Ether,66,IP,52,UDP,32.0,RIP,24.0,RIPEntry,20.0,921762023.174389,66,00:10:7b:38:46:32,01:00:5e:00:00:09,192.168.1.1,224.0.0.9,,520.0,520.0,week3_wednesday.tcpdump,24,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762024.171652,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,25,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762025.172139,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,26,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762026.17195,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,27,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762027.171797,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,28,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762028.1726812,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,29,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762029.171822,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,30,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762030.171898,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,31,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762031.172624,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,32,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762032.172578,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,33,,
Ether,60,Raw,46,,,,,,,921762032.401593,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_wednesday.tcpdump,34,,
Dot3,324,LLC,310,SNAP,307.0,Raw,302.0,,,921762033.4378368,324,00:10:7b:38:46:32,01:00:0c:cc:cc:cc,,,,,,week3_wednesday.tcpdump,35,,
Ether,90,IP,76,UDP,56.0,NTPHeader,48.0,,,921762034.0907632,90,08:00:20:11:34:bf,00:c0:4f:a3:58:23,192.168.1.90,192.168.1.10,,123.0,123.0,week3_wednesday.tcpdump,36,,
Ether,90,IP,76,UDP,56.0,NTPHeader,48.0,,,921762034.09238,90,00:c0:4f:a3:58:23,08:00:20:11:34:bf,192.168.1.10,192.168.1.90,,123.0,123.0,week3_wednesday.tcpdump,37,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762034.6733,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,38,,
Ether,90,IP,76,UDP,56.0,NTPHeader,48.0,,,921762034.888407,90,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.10,,123.0,123.0,week3_wednesday.tcpdump,39,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762036.174182,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,40,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762037.171666,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,41,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762038.1731472,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,42,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762039.1730312,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,43,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762040.1728288,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,44,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762041.17264,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,45,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762042.1721368,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,46,,
Ether,60,Raw,46,,,,,,,921762042.441616,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_wednesday.tcpdump,47,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762043.671776,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,48,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762044.672274,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,49,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762045.671734,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,50,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762046.672606,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,51,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762047.671853,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,52,,
Ether,60,ARP,46,Padding,18.0,,,,,921762048.245246,60,00:10:7b:38:46:32,00:60:97:de:54:36,,,,,,week3_wednesday.tcpdump,53,,
Ether,60,ARP,46,Padding,18.0,,,,,921762048.247886,60,00:60:97:de:54:36,00:10:7b:38:46:32,,,,,,week3_wednesday.tcpdump,54,,
Ether,60,ARP,46,Padding,18.0,,,,,921762048.255408,60,00:10:7b:38:46:32,00:60:97:de:54:36,,,,,,week3_wednesday.tcpdump,55,,
Ether,60,ARP,46,Padding,18.0,,,,,921762048.258196,60,00:60:97:de:54:36,00:10:7b:38:46:32,,,,,,week3_wednesday.tcpdump,56,,
Ether,60,ARP,46,Padding,18.0,,,,,921762048.259162,60,00:10:7b:38:46:32,00:60:97:de:54:36,,,,,,week3_wednesday.tcpdump,57,,
Ether,60,ARP,46,Padding,18.0,,,,,921762048.261625,60,00:60:97:de:54:36,00:10:7b:38:46:32,,,,,,week3_wednesday.tcpdump,58,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762049.173326,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,59,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762050.1720812,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,60,,
Ether,66,IP,52,UDP,32.0,RIP,24.0,RIPEntry,20.0,921762050.977707,66,00:10:7b:38:46:32,01:00:5e:00:00:09,192.168.1.1,224.0.0.9,,520.0,520.0,week3_wednesday.tcpdump,61,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762051.672372,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,62,,
Ether,60,Raw,46,,,,,,,921762052.441208,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_wednesday.tcpdump,63,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762053.171898,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,64,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762054.173526,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,65,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762055.172699,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,66,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762056.173892,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,67,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762057.1725132,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,68,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762058.172574,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,69,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762059.173602,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,70,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762060.172108,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,71,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762061.173633,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,72,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762062.173024,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,73,,
Ether,60,Raw,46,,,,,,,921762062.44091,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_wednesday.tcpdump,74,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762063.673454,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,75,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762064.673526,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,76,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762065.6724052,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,77,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762066.673595,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,78,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762067.673686,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,79,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762068.672702,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,80,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762069.675782,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,81,,
Dot3,54,LLC,40,Raw,37.0,,,,,921762070.672674,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_wednesday.tcpdump,82,,
