layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_4,length_4,layers_5,length_5
Dot3,54,LLC,40,Raw,37.0,,,921848403.490841,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_friday.tcpdump,0,,,,
Ether,90,IP,76,UDP,56.0,NTPHeader,48.0,921848404.373969,90,08:00:20:11:34:bf,00:c0:4f:a3:58:23,192.168.1.90,192.168.1.10,,123.0,123.0,week3_friday.tcpdump,1,,,,
Ether,90,IP,76,UDP,56.0,NTPHeader,48.0,921848404.375486,90,00:c0:4f:a3:58:23,08:00:20:11:34:bf,192.168.1.10,192.168.1.90,,123.0,123.0,week3_friday.tcpdump,2,,,,
Dot3,54,LLC,40,Raw,37.0,,,921848404.991574,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_friday.tcpdump,3,,,,
Ether,66,IP,52,UDP,32.0,RIP,24.0,921848405.167943,66,00:10:7b:38:46:32,01:00:5e:00:00:09,192.168.1.1,224.0.0.9,,520.0,520.0,week3_friday.tcpdump,4,RIPEntry,20.0,,
Dot3,54,LLC,40,Raw,37.0,,,921848406.491645,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_friday.tcpdump,5,,,,
Dot3,54,LLC,40,Raw,37.0,,,921848407.490935,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_friday.tcpdump,6,,,,
Dot3,54,LLC,40,Raw,37.0,,,921848408.4920572,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_friday.tcpdump,7,,,,
Dot3,54,LLC,40,Raw,37.0,,,921848409.4911132,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_friday.tcpdump,8,,,,
Dot3,54,LLC,40,Raw,37.0,,,921848410.490347,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_friday.tcpdump,9,,,,
Ether,60,Raw,46,,,,,921848411.326788,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_friday.tcpdump,10,,,,
Dot3,54,LLC,40,Raw,37.0,,,921848411.991139,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_friday.tcpdump,11,,,,
Dot3,54,LLC,40,Raw,37.0,,,921848412.990809,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_friday.tcpdump,12,,,,
Dot3,54,LLC,40,Raw,37.0,,,921848413.991399,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_friday.tcpdump,13,,,,
Dot3,54,LLC,40,Raw,37.0,,,921848414.991033,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_friday.tcpdump,14,,,,
Dot3,54,LLC,40,Raw,37.0,,,921848415.9911528,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_friday.tcpdump,15,,,,
