layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_4,length_4,layers_5,length_5
Dot3,54,LLC,40,Raw,37.0,,,921589201.771577,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_tuesday.tcpdump,0,,,,
Ether,60,Raw,46,,,,,921589202.077019,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_tuesday.tcpdump,1,,,,
Dot3,54,LLC,40,Raw,37.0,,,921589203.27233,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_tuesday.tcpdump,2,,,,
Dot3,54,LLC,40,Raw,37.0,,,921589204.273086,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_tuesday.tcpdump,3,,,,
Dot3,54,LLC,40,Raw,37.0,,,921589205.271678,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_tuesday.tcpdump,4,,,,
Ether,66,IP,52,UDP,32.0,RIP,24.0,921589206.078345,66,00:10:7b:38:46:32,01:00:5e:00:00:09,192.168.1.1,224.0.0.9,,520.0,520.0,week3_tuesday.tcpdump,5,RIPEntry,20.0,,
Dot3,54,LLC,40,Raw,37.0,,,921589206.772056,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_tuesday.tcpdump,6,,,,
Dot3,54,LLC,40,Raw,37.0,,,921589207.77278,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_tuesday.tcpdump,7,,,,
Dot3,54,LLC,40,Raw,37.0,,,921589208.77272,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_tuesday.tcpdump,8,,,,
Dot3,54,LLC,40,Raw,37.0,,,921589209.772517,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_tuesday.tcpdump,9,,,,
Dot3,54,LLC,40,Raw,37.0,,,921589210.773036,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_tuesday.tcpdump,10,,,,
Dot3,54,LLC,40,Raw,37.0,,,921589211.772104,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_tuesday.tcpdump,11,,,,
Ether,60,Raw,46,,,,,921589212.2367152,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_tuesday.tcpdump,12,,,,
Dot3,54,LLC,40,Raw,37.0,,,921589213.272294,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_tuesday.tcpdump,13,,,,
Dot3,54,LLC,40,Raw,37.0,,,921589214.273856,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_tuesday.tcpdump,14,,,,
